CodFazenda;Ano;Produção/vacas em lactação (litros/animal/dia);Clusters
A05147F4-D2A6-4240-9421-A25500B258D3;2024;19.516666666666666;3
8AA43AE4-801B-4F61-86D9-ED9D8829CA48;2022;17.956666666666667;3
8AC49D3B-42A9-44B2-BD50-FC7A21DE1C85;2022;13.389999999999999;0
C735CC9D-EB5E-4FB7-A7D2-75611FCA2F20;2021;16.554444444444446;4
C735CC9D-EB5E-4FB7-A7D2-75611FCA2F20;2022;20.39166666666667;3
C735CC9D-EB5E-4FB7-A7D2-75611FCA2F20;2024;15.21;4
52AA5A05-4C67-453B-89C5-F176453D2F74;2020;13.607272727272727;0
52AA5A05-4C67-453B-89C5-F176453D2F74;2021;17.123333333333335;4
52AA5A05-4C67-453B-89C5-F176453D2F74;2022;10.961666666666668;2
2C0AB012-6134-4D56-A05E-EEE7A3637C60;2021;18.235555555555557;3
2C0AB012-6134-4D56-A05E-EEE7A3637C60;2022;10.826666666666668;2
C8A2D478-A0A8-435A-BC72-A9810114A1DF;2019;15.23222222222222;4
C8A2D478-A0A8-435A-BC72-A9810114A1DF;2020;16.755;4
C8A2D478-A0A8-435A-BC72-A9810114A1DF;2021;16.419999999999998;4
C8A2D478-A0A8-435A-BC72-A9810114A1DF;2022;18.27416666666667;3
A62520D0-FD10-430F-A702-A25500B1CA25;2019;18.462222222222223;3
A62520D0-FD10-430F-A702-A25500B1CA25;2020;18.750833333333336;3
A62520D0-FD10-430F-A702-A25500B1CA25;2021;16.9175;4
A62520D0-FD10-430F-A702-A25500B1CA25;2022;17.979166666666668;3
DC4F2A65-DDEE-45E0-ACA5-A25500B264CA;2019;18.864444444444445;3
DC4F2A65-DDEE-45E0-ACA5-A25500B264CA;2020;17.891666666666666;3
DC4F2A65-DDEE-45E0-ACA5-A25500B264CA;2021;23.114166666666666;1
DC4F2A65-DDEE-45E0-ACA5-A25500B264CA;2022;22.9325;1
4EC97D04-165C-4566-9080-922D8ED75EE4;2024;17.87;3
7B537A2F-DD37-46A7-9FF6-541A4B7EAECA;2021;18.035;3
7B537A2F-DD37-46A7-9FF6-541A4B7EAECA;2022;17.695000000000004;3
596191A0-2789-4C38-AC7A-665968329A08;2021;17.202222222222222;4
596191A0-2789-4C38-AC7A-665968329A08;2022;16.6975;4
ECFD5EB9-06CA-4D6A-A4EB-A5E500B98A91;2020;22.375833333333333;1
ECFD5EB9-06CA-4D6A-A4EB-A5E500B98A91;2021;17.638333333333332;3
ECFD5EB9-06CA-4D6A-A4EB-A5E500B98A91;2022;16.836666666666666;4
1EB12495-33E0-42E6-8544-1EEBF139BDEF;2024;10.906666666666666;2
822DB679-9F84-4792-A3BB-A88800AAAE47;2019;13.192222222222222;0
822DB679-9F84-4792-A3BB-A88800AAAE47;2020;14.639166666666668;0
822DB679-9F84-4792-A3BB-A88800AAAE47;2021;17.968333333333334;3
822DB679-9F84-4792-A3BB-A88800AAAE47;2022;17.950833333333335;3
